song,artist
Let's Be Still,The Head and the Heart
Snow Queen,She & Him
Through The Echoes,Paolo Nutini
Arabella,Arctic Monkeys
Crying Lightning,Arctic Monkeys
Fluorescent Adolescent,Arctic Monkeys
I Bet You Look Good on the Dancefloor,Arctic Monkeys
Snap Out of It,Arctic Monkeys
R U Mine?,Arctic Monkeys
No. 1 Party Anthem,Arctic Monkeys
Why'd You Only Call Me When You're High?,Arctic Monkeys
I Wanna Be Yours,Arctic Monkeys
Do I Wanna Know?,Arctic Monkeys
Too Sweet,Hozier
Don't Start Now,Dua Lipa
She Gives Her Love to Me,She & Him
bellyache,Billie Eilish
French Navy,Camera Obscura
Electric Love,BØRNS
Dreams,Beck
Never Wanted Your Love,She & Him
I Could've Been Your Girl,She & Him
You Belong with Me (Taylor’s Version),Taylor Swift
Hold Me Thrill Me Kiss Me,Mel Carter
9:20 Special,Heart of Dixie
A Girl Like You,Edwyn Collins
Losers,Balthazar
Dream a Little Dream of Me (With Introduction),The Mamas & the Papas
Homesick,Kings of Convenience
Hey Gringo,Kaleo
Mushaboom,Feist
Heart Skipped a Beat,The xx
Our Own Pretty Ways,First Aid Kit
Stay,Cat Power
All the World (I Tell Myself),Correatown
Last Nite,The Strokes
That's Where You're Wrong,Arctic Monkeys
Taking Over,Miles Kane
Always Where I Need to Be,The Kooks
Gallipoli,Beirut
Swimming (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Howl (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Between Two Lungs (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Drumming Song (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
You've Got The Love (Live BBC Proms at the Royal Albert Hall / 2024),Florence + The Machine & Jules Buckley
Santa Fe,Beirut
I Love You Anyways,Travis
Postcards From Italy,Beirut
Better Man,Paolo Nutini
You Really Got a Hold on Me,Percy Sledge
I've Got Your Number Son,She & Him
Chills & Fever,Samantha Fish
Smooth (feat. Rob Thomas),Santana
Arms Of A Woman,Amos Lee
All My Days,Alexi Murdoch
Long & Lost,Florence + the Machine
Anywhere,Passenger
No Other Way,Paolo Nutini
Swings & Waterslides,Viola Beach
Rearrange,Miles Kane
Phantom Limb,The Shins
Many Shades of Black,The Raconteurs
The Walls Are Coming Down,Fanfarlo
Rabbit Heart (Raise It Up) [Live BBC Proms at the Royal Albert Hall / 2024],Florence + The Machine & Jules Buckley
You Send Me,Aretha Franklin
Shadow,Derik Fein
Calm Like You,The Last Shadow Puppets
I Don't Know,Paul McCartney
Golden Touch,Razorlight
The Element of Surprise,The Last Shadow Puppets
Always Like This,Bombay Bicycle Club
Dracula Teeth,The Last Shadow Puppets
There’d Better Be a Mirrorball,Arctic Monkeys
Bad Habits,The Last Shadow Puppets
